episode,seed,return,steps,terminated,truncated,epsilon,time
41,20250350,-200.0,200,False,True,0.8183201210226743,0.12878429098054767
42,20250351,-200.0,200,False,True,0.8142285204175609,0.17479916696902364
43,20250352,-200.0,200,False,True,0.810157377815473,0.17790045798756182
44,20250353,-199.0,199,True,False,0.8061065909263957,0.10316129203420132
45,20250354,-200.0,200,False,True,0.8020760579717637,0.10391129198251292
46,20250355,-200.0,200,False,True,0.798065677681905,0.0798276659916155
47,20250356,-200.0,200,False,True,0.7940753492934954,0.09446237498195842
48,20250357,-200.0,200,False,True,0.7901049725470279,0.11122533300658688
49,20250358,-200.0,200,False,True,0.7861544476842928,0.2586934170103632
50,20250359,-200.0,200,False,True,0.7822236754458713,0.1889589999918826
51,20250360,-200.0,200,False,True,0.778312557068642,0.1985113749979064
52,20250361,-200.0,200,False,True,0.7744209942832988,0.3179222919861786
53,20250362,-200.0,200,False,True,0.7705488893118823,0.16084766702260822
54,20250363,-200.0,200,False,True,0.7666961448653229,0.12190799997188151
55,20250364,-200.0,200,False,True,0.7628626641409962,0.09744529100134969
56,20250365,-200.0,200,False,True,0.7590483508202912,0.15254124999046326
57,20250366,-200.0,200,False,True,0.7552531090661897,0.4198272500070743
58,20250367,-200.0,200,False,True,0.7514768435208588,0.16401141695678234
59,20250368,-200.0,200,False,True,0.7477194593032545,0.09434283297741786
60,20250369,-200.0,200,False,True,0.7439808620067382,0.10774554096860811
61,20250370,-200.0,200,False,True,0.7402609576967045,0.16206833301112056
62,20250371,-200.0,200,False,True,0.736559652908221,0.17945045902160928
63,20250372,-200.0,200,False,True,0.7328768546436799,0.111174666963052
64,20250373,-200.0,200,False,True,0.7292124703704616,0.1470372080220841
65,20250374,-200.0,200,False,True,0.7255664080186093,0.106496500025969
66,20250375,-200.0,200,False,True,0.7219385759785162,0.10212445800425485
67,20250376,-200.0,200,False,True,0.7183288830986236,0.1377525000134483
68,20250377,-200.0,200,False,True,0.7147372386831305,0.11181183299049735
69,20250378,-200.0,200,False,True,0.7111635524897149,0.09454545797780156
70,20250379,-200.0,200,False,True,0.7076077347272662,0.10980000003473833
71,20250380,-200.0,200,False,True,0.7040696960536299,0.09145529201487079
72,20250381,-200.0,200,False,True,0.7005493475733617,0.08450658299261704
73,20250382,-200.0,200,False,True,0.697046600835495,0.08485404204111546
74,20250383,-200.0,200,False,True,0.6935613678313175,0.10014516703085974
75,20250384,-200.0,200,False,True,0.6900935609921609,0.09077433403581381
76,20250385,-191.0,191,True,False,0.6866430931872001,0.08468704199185595
77,20250386,-200.0,200,False,True,0.6832098777212641,0.09152591699967161
78,20250387,-200.0,200,False,True,0.6797938283326578,0.08805837499676272
79,20250388,-200.0,200,False,True,0.6763948591909945,0.08372420904925093
80,20250389,-200.0,200,False,True,0.6730128848950395,0.07531266700243577
81,20250390,-200.0,200,False,True,0.6696478204705644,0.07511820801300928
82,20250391,-200.0,200,False,True,0.6662995813682115,0.09843691595597193
83,20250392,-200.0,200,False,True,0.6629680834613705,0.10154062503715977
84,20250393,-200.0,200,False,True,0.6596532430440636,0.07507862499915063
85,20250394,-200.0,200,False,True,0.6563549768288433,0.07353258295916021
86,20250395,-200.0,200,False,True,0.653073201944699,0.07945154199842364
87,20250396,-200.0,200,False,True,0.6498078359349755,0.07898725004633889
88,20250397,-161.0,161,True,False,0.6465587967553006,0.06476766598643735
89,20250398,-200.0,200,False,True,0.6433260027715241,0.0821665829862468
90,20250399,-200.0,200,False,True,0.6401093727576664,0.09543516702251509
91,20250400,-200.0,200,False,True,0.6369088258938781,0.08948254201095551
